Scenario,joy_keywords,spare_words,Similarity Score
"As the students laughed and giggled uncontrollably during their class party, the teacher couldn't help but join in on the mirthful atmosphere.","['laughed', 'giggled', 'help', 'mirthful']","['students', 'uncontrollably', 'class', 'party', 'teacher', 'could', ""n't"", 'join', 'atmosphere']",
"During lunch, friends gathered around the table, sharing jokes that made them all laugh uncontrollably.","['friends', 'sharing', 'laugh']","['lunch', 'gathered', 'around', 'table', 'jokes', 'made', 'uncontrollably']",
Samantha hugged her favorite doll tightly and twirled happily around her room.,"['hugged', 'favorite', 'doll', 'happily']","['samantha', 'tightly', 'twirled', 'around', 'room']",
"As she danced through the meadow, the sunlight filtering through the trees cast a whimsical glow on her face.","['danced', 'trees', 'whimsical', 'glow']","['meadow', 'sunlight', 'filtering', 'cast', 'face']",
"After being greeted with warm smiles and kind gestures, a student feels a sense of connection and warmth within them.","['smiles', 'kind', 'feels']","['greeted', 'warm', 'gestures', 'student', 'sense', 'connection', 'warmth', 'within']",
"After rekindling an old friendship and spending the day reminiscing about summers past, Sarah couldn't help but wear a bright smile on her face for the rest of the week.","['rekindling', 'friendship', 'help', 'smile']","['old', 'spending', 'day', 'reminiscing', 'summers', 'past', 'sarah', 'could', ""n't"", 'wear', 'bright', 'face', 'rest', 'week']",
"After a long week of exams, your buddy surprises you with tickets to your favorite band's concert.","['buddy', 'surprises', 'favorite']","['long', 'week', 'exams', 'tickets', 'band', 'concert']",
"Sara's face lit up as she took a bite of her favorite dessert, savoring every last morsel.","['favorite', 'savoring']","['sara', 'face', 'lit', 'took', 'bite', 'dessert', 'every', 'last', 'morsel']",
"Tina woke up to the pleasant warmth of the sun streaming through her window, filling her with a sense of contentment and happiness.","['pleasant', 'sun', 'contentment', 'happiness']","['tina', 'woke', 'warmth', 'streaming', 'window', 'filling', 'sense']",
Kaitlyn's eyes sparkled and her smile widened as she cheerfully handed out invitations to her birthday party.,"['sparkled', 'smile', 'cheerfully', 'invitations', 'birthday']","['kaitlyn', 'eyes', 'widened', 'handed', 'party']",
"Samantha discovered a hidden path in the forest that led to a secluded clearing, where she found her favorite wildflowers blooming in vibrant hues, filling her with a deep and satisfying warmth in her marrow.","['found', 'favorite', 'blooming', 'satisfying', 'marrow']","['samantha', 'discovered', 'hidden', 'path', 'forest', 'led', 'secluded', 'clearing', 'wildflowers', 'vibrant', 'hues', 'filling', 'deep', 'warmth']",
"After acing her final exams, Sarah unwrapped the small envelope with her name on it and beamed from ear to ear.","['final', 'beamed']","['acing', 'exams', 'sarah', 'unwrapped', 'small', 'envelope', 'name', 'ear', 'ear']",
"Lila received a heartfelt letter from a friend she hadn't spoken to in years, leaving her feeling warm and content inside.","['received', 'heartfelt', 'friend', 'feeling', 'content']","['lila', 'letter', ""n't"", 'spoken', 'years', 'leaving', 'warm', 'inside']",
"In class, Sarah received a letter from her best friend, and as she read it, a bright, genuine smile spread across her face.","['received', 'friend', 'smile']","['class', 'sarah', 'letter', 'best', 'read', 'bright', 'genuine', 'spread', 'across', 'face']",
"Sarah's heart swelled as she held the trophy in her hands, the powerful feeling of accomplishment washing over her.","['trophy', 'powerful', 'feeling', 'accomplishment']","['sarah', 'heart', 'swelled', 'held', 'hands', 'washing']",
"After a long day at school, Maria snuggled on the couch with her family, feeling warm and content.","['feeling', 'content']","['long', 'day', 'school', 'maria', 'snuggled', 'couch', 'family', 'warm']",
"Savannah, the ice cream connoisseur, took her first bite of a rich, velvety dessert and felt a rush of warmth and contentment fill her soul.","['cream', 'connoisseur', 'contentment']","['savannah', 'ice', 'took', 'first', 'bite', 'rich', 'velvety', 'dessert', 'felt', 'rush', 'warmth', 'fill', 'soul']",
Sarah felt blessed as she looked around at her friends laughing and sharing stories under the warm glow of the bonfire.,"['blessed', 'friends', 'laughing', 'sharing', 'glow']","['sarah', 'felt', 'looked', 'around', 'stories', 'warm', 'bonfire']",
"Sarah looked at the handmade card from her friends, feeling the warmth of a special moment shared among them.","['friends', 'feeling', 'special', 'shared']","['sarah', 'looked', 'handmade', 'card', 'warmth', 'moment', 'among']",
"Sarah's eyes sparkled with zeal as she ran onto the field, ready to take on the rival team in the championship game.","['sparkled', 'zeal', 'ready']","['sarah', 'eyes', 'ran', 'onto', 'field', 'take', 'rival', 'team', 'championship', 'game']",
"A teacher smiles and nods as she watches her student confidently raise their hand multiple times during class discussions, encouraging them to keep participating.","['smiles', 'confidently', 'encouraging']","['teacher', 'nods', 'watches', 'student', 'raise', 'hand', 'multiple', 'times', 'class', 'discussions', 'keep', 'participating']",
"After scrubbing away the dirt and grime, Samantha stepped back to admire her sparkling, white sneakers.","['admire', 'sparkling', 'white']","['scrubbing', 'away', 'dirt', 'grime', 'samantha', 'stepped', 'back', 'sneakers']",
"Samantha's heart danced with the feeling of warmth and contentment as she gazed out at the vast expanse of possibilities ahead, fueling her drive to reach for the stars and chase her dreams.","['danced', 'feeling', 'contentment', 'stars']","['samantha', 'heart', 'warmth', 'gazed', 'vast', 'expanse', 'possibilities', 'ahead', 'fueling', 'drive', 'reach', 'chase', 'dreams']",
"A high school student cradles a sleeping baby in their arms, feeling a warm sense of contentment and happiness wash over them.","['cradles', 'baby', 'feeling', 'contentment', 'happiness']","['high', 'school', 'student', 'sleeping', 'arms', 'warm', 'sense', 'wash']",
"After laughing and reminiscing about old memories, they shared a familiar, content silence, feeling deeply connected and understood by each other.","['laughing', 'shared', 'familiar', 'content', 'feeling']","['reminiscing', 'old', 'memories', 'silence', 'deeply', 'connected', 'understood']",
"A group of students come together to volunteer at a local shelter, feeling connected and uplifted by the shared humanity they experience.","['volunteer', 'feeling', 'uplifted', 'shared', 'humanity']","['group', 'students', 'come', 'together', 'local', 'shelter', 'connected', 'experience']",
"During class, Sarah couldn't help but giggle uncontrollably when her friend whispered a silly joke in her ear.","['help', 'giggle', 'friend', 'silly']","['class', 'sarah', 'could', ""n't"", 'uncontrollably', 'whispered', 'joke', 'ear']",
Sarah's eyes widened and a wide smile spread across her face as she gazed at her perfectly frosted birthday cake.,"['smile', 'birthday']","['sarah', 'eyes', 'widened', 'wide', 'spread', 'across', 'face', 'gazed', 'perfectly', 'frosted', 'cake']",
"Samantha felt a warm glow in her chest as she put the final piece in her puzzle, a huge smile spreading across her face.","['glow', 'final', 'smile']","['samantha', 'felt', 'warm', 'chest', 'put', 'piece', 'puzzle', 'huge', 'spreading', 'across', 'face']",
"After spending the day volunteering at a local shelter, Sarah felt a warmth in her heart like never before.","['volunteering', 'like']","['spending', 'day', 'local', 'shelter', 'sarah', 'felt', 'warmth', 'heart', 'never']",
"As the confetti fell around them, everyone in the room laughed and hugged each other, feeling the warmth of togetherness in the air.","['laughed', 'hugged', 'feeling']","['confetti', 'fell', 'around', 'everyone', 'room', 'warmth', 'togetherness', 'air']",
"The flowers in her garden began to bloom and flourish, filling her heart with warmth and a sense of expansion and contentment.","['garden', 'bloom', 'contentment']","['flowers', 'began', 'flourish', 'filling', 'heart', 'warmth', 'sense', 'expansion']",
"Anna's heart raced with a certain vitality as she danced in the rain, feeling a surge of energy and elation.","['vitality', 'danced', 'feeling', 'elation']","['anna', 'heart', 'raced', 'certain', 'rain', 'surge', 'energy']",
Imagine waking up on a sunny weekend morning with a burst of energy and feeling ready to embrace the day with a sense of vitality.,"['sunny', 'feeling', 'ready', 'embrace', 'vitality']","['imagine', 'waking', 'weekend', 'morning', 'burst', 'energy', 'day', 'sense']",
"Sarah found a crumpled $20 bill in her pocket, her eyes lit up with a spark of excitement.","['found', 'excitement']","['sarah', 'crumpled', 'bill', 'pocket', 'eyes', 'lit', 'spark']",
"After weeks of practice, Sarah finally performed her piano piece flawlessly, feeling a deep sense of inner contentment.","['practice', 'finally', 'feeling', 'contentment']","['weeks', 'sarah', 'performed', 'piano', 'piece', 'flawlessly', 'deep', 'sense', 'inner']",
"Anna twirled in the field, her hair catching the afternoon sun in a marvelous dance of light and color.","['sun', 'marvelous', 'dance']","['anna', 'twirled', 'field', 'hair', 'catching', 'afternoon', 'light', 'color']",
"During the school's annual fortune cookie fundraiser, Sarah opened hers to find a handwritten note predicting a year of happiness and success ahead, leaving her with a warm, contented feeling.","['fortune', 'happiness', 'success', 'contented', 'feeling']","['school', 'annual', 'cookie', 'fundraiser', 'sarah', 'opened', 'find', 'handwritten', 'note', 'predicting', 'year', 'ahead', 'leaving', 'warm']",
